yy;mm;SiteID;spi
1981;05;5634;NA
1981;05;5640;NA
1981;05;5646;NA
1981;05;5647;0.6979116610670132
1981;05;5649;2.2606814752845397
1981;05;5651;NA
1981;05;10;-0.4320215656665447
1981;05;210;NA
1981;05;221;-0.0713019013591516
1981;05;222;0.423317055943959
1981;05;225;0.9468795943126737
1981;05;227;0.5431750603156761
1981;05;228;1.0790649753210548
1981;05;23;NA
1981;05;247;NA
1981;05;250;1.2104888033938788
1981;05;31;0.8119357260685401
1981;05;349;-0.245063849029559
1981;05;37;0.11030205398221964
1981;05;39;NA
1981;05;4;-0.8037664484147936
1981;05;408;0.9316722234186126
1981;05;41;0.08323343702435886
1981;05;5;0.7265495318900218
1981;05;50;0.9784819347071961
1981;05;61;NA
1981;05;8;0.04768787099920701
1981;05;6510;0.8514374990399659
1981;05;6511;0.6672981896172576
1981;05;6512;0.3687074441863197
1981;05;6516;1.2364490357329028
1981;05;6521;1.079062450829217
1981;05;6528;1.6672743264130936
1981;05;6529;1.7505349430975068
1981;05;6541;0.5985871996527791
1981;05;6543;1.3386673646519396
1981;05;6546;-0.3804449242987855
1981;05;6547;NA
1981;05;6561;0.84408689829103
1981;05;6564;0.38452804059353424
1981;05;6569;0.372704015762939
1981;05;6570;0.05848803889442721
1981;05;6576;-0.04569608205248633
1981;05;6591;1.5131049362810844
1981;05;6594;1.115640229469334
1981;05;6598;0.7032592544933638
1981;05;6601;0.5024792366096199
1981;05;6602;0.46321779873207747
1981;05;6615;1.828085655695139
1981;05;6638;1.9645010091450723
1981;05;6639;1.7742996875125367
1981;05;6640;0.7332396135060688
1981;05;44;2.6471603052411616
1981;05;5675;NA
1981;05;5677;0.7342799575557593
1981;05;5678;NA
1981;05;5679;NA
1981;05;5680;NA
1981;05;5681;NA
1981;05;5682;NA
1981;05;5683;NA
1981;05;5687;NA
1981;05;5688;NA
1981;05;5689;NA
1981;05;5690;NA
1981;05;5691;NA
1981;05;5692;NA
1981;05;5693;NA
1981;05;5696;NA
1981;05;5697;NA
1981;05;5698;NA
1981;05;5699;NA
1981;05;5700;NA
1981;05;5703;NA
1981;05;5704;NA
1981;05;5705;-1.192676116452932
1981;05;5707;NA
1981;05;5708;NA
1981;05;5709;NA
1981;05;5710;NA
1981;05;5711;NA
1981;05;5712;NA
1981;05;5713;NA
1981;05;5714;NA
1981;05;5715;NA
1981;05;5716;NA
1981;05;5717;NA
1981;05;5718;NA
1981;05;5720;0.12138925305721154
1981;05;5721;NA
1981;05;5722;NA
1981;05;5723;NA
1981;05;5725;NA
1981;05;5726;NA
1981;05;5727;NA
1981;05;5728;NA
1981;05;5729;NA
1981;05;5732;NA
1981;05;5733;NA
1981;05;5734;NA
1981;05;5735;NA
1981;05;5736;NA
1981;05;5737;NA
1981;05;5738;NA
1981;05;5739;NA
1981;05;5740;NA
1981;05;5741;NA
1981;05;5742;NA
1981;05;5743;NA
1981;05;5744;NA
1981;05;5745;NA
1981;05;5746;NA
1981;05;5747;NA
1981;05;5748;NA
1981;05;5752;NA
1981;05;5753;NA
1981;05;5754;NA
1981;05;5755;-0.05652065455283129
1981;05;5756;NA
1981;05;5758;NA
1981;05;5759;NA
1981;05;5760;NA
1981;05;5761;NA
1981;05;5763;NA
1981;05;5764;NA
1981;05;5766;NA
1981;05;5769;NA
1981;05;5770;NA
1981;05;5771;NA
1981;05;5772;NA
1981;05;5773;NA
1981;05;5774;NA
1981;05;5775;NA
1981;05;5776;NA
1981;05;5777;NA
1981;05;5779;NA
1981;05;5780;NA
1981;05;5781;NA
1981;05;5783;NA
1981;05;5784;NA
1981;05;5786;NA
1981;05;5797;NA
1981;05;5798;NA
1981;05;5799;NA
1981;05;5800;NA
1981;05;5801;NA
1981;06;6718;0.4067242631989903
1981;06;6720;-0.22623500940900737
1981;06;6721;-0.43896487525068006
